data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-01-24T20:01:05,70-79,46226,1663,47889,7.7,0.28,2021-01-24T23:58:01
2021-01-24T20:01:05,80-89,66116,2167,68283,18.13,0.59,2021-01-24T23:58:01
2021-01-24T20:01:05,90+,50713,1924,52637,63.82,2.42,2021-01-24T23:58:01
2021-01-24T20:01:05,16+,1278261,100863,1379124,24.65,1.95,2021-01-24T23:58:01
2021-01-25T20:01:28,16-19,1320,26,1346,0.57,0.01,2021-01-25T23:58:02
2021-01-25T20:01:28,20-29,132423,12924,145347,21.51,2.1,2021-01-25T23:58:02
2021-01-25T20:01:28,30-39,198488,25938,224426,28.55,3.73,2021-01-25T23:58:02
2021-01-25T20:01:28,40-49,248302,32585,280887,27.47,3.6,2021-01-25T23:58:02
2021-01-25T20:01:28,50-59,334091,43253,377344,35.16,4.55,2021-01-25T23:58:02
2021-01-25T20:01:28,60-69,205685,26408,232093,27.7,3.56,2021-01-25T23:58:02
2021-01-25T20:01:28,70-79,46704,2401,49105,7.78,0.4,2021-01-25T23:58:02
2021-01-25T20:01:28,80-89,66835,3088,69923,18.32,0.85,2021-01-25T23:58:02
2021-01-25T20:01:28,90+,51352,2727,54079,64.63,3.43,2021-01-25T23:58:02
2021-01-25T20:01:28,16+,1285200,149350,1434550,24.79,2.88,2021-01-25T23:58:02
2021-01-26T18:03:54,16-19,1332,35,1367,0.57,0.02,2021-01-26T23:58:02
2021-01-26T18:03:54,20-29,133658,19378,153036,21.71,3.15,2021-01-26T23:58:02
2021-01-26T18:03:54,30-39,200236,39619,239855,28.8,5.7,2021-01-26T23:58:02
2021-01-26T18:03:54,40-49,250599,49062,299661,27.72,5.43,2021-01-26T23:58:02
2021-01-26T18:03:54,50-59,336943,66231,403174,35.46,6.97,2021-01-26T23:58:02
2021-01-26T18:03:54,60-69,207302,40171,247473,27.92,5.41,2021-01-26T23:58:02
2021-01-26T18:03:54,70-79,47578,3601,51179,7.92,0.6,2021-01-26T23:58:02
2021-01-26T18:03:54,80-89,68523,4496,73019,18.79,1.23,2021-01-26T23:58:02
2021-01-26T18:03:54,90+,52819,4029,56848,66.47,5.07,2021-01-26T23:58:02
2021-01-26T18:03:54,16+,1298990,226622,1525612,25.05,4.37,2021-01-26T23:58:02
2021-01-27T21:02:57,16-19,1332,64,1396,0.57,0.03,2021-01-27T23:58:02
2021-01-27T21:02:57,20-29,134594,26096,160690,21.86,4.24,2021-01-27T23:58:02
2021-01-27T21:02:57,30-39,201425,51406,252831,28.97,7.39,2021-01-27T23:58:02
2021-01-27T21:02:57,40-49,252110,62556,314666,27.89,6.92,2021-01-27T23:58:02
2021-01-27T21:02:57,50-59,338862,84628,423490,35.67,8.91,2021-01-27T23:58:02
2021-01-27T21:02:57,60-69,208454,51973,260427,28.07,7.0,2021-01-27T23:58:02
2021-01-27T21:02:57,70-79,48224,5204,53428,8.03,0.87,2021-01-27T23:58:02
2021-01-27T21:02:57,80-89,69865,6091,75956,19.15,1.67,2021-01-27T23:58:02
2021-01-27T21:02:57,90+,53965,5483,59448,67.92,6.9,2021-01-27T23:58:02
